antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'27211'}),"frozenset({'25711', '99111'})",0.05478328501732306,0.006702962596337411,0.004412076645690447,0.08053691275167785,12.015121909778268,1.0,0.0040448663353148395,1.080301157468217,0.9699061952992925,0.07730426164519325,0.07433219608540452,0.3693823804264718
"frozenset({'25711', '99111'})",frozenset({'27211'}),0.006702962596337411,0.05478328501732306,0.004412076645690447,0.6582278481012658,12.015121909778268,1.0,0.0040448663353148395,2.7656340919863505,0.922958101393773,0.07730426164519325,0.6384192677919392,0.3693823804264718
"frozenset({'23324', '99111'})",frozenset({'27211'}),0.006717103867637701,0.05478328501732306,0.004341370289188998,0.6463157894736842,11.797682254164062,1.0,0.003973385273517239,2.672487735814116,0.9214269085796116,0.07595249876298861,0.6258168048448045,0.36278102328614514
frozenset({'27211'}),"frozenset({'23324', '99111'})",0.05478328501732306,0.006717103867637701,0.004341370289188998,0.07924625709860608,11.79768225416406,1.0,0.003973385273517239,1.078771499752389,0.968283329971603,0.07595249876298861,0.0730196336948737,0.36278102328614514
frozenset({'99700'}),frozenset({'43414'}),0.01076150745952061,0.026472459874142686,0.0033231987555681257,0.3088042049934297,11.66511183552905,1.0,0.003038315181160679,1.4084685513988162,0.9242202930922996,0.09799833194328608,0.2900089966461424,0.21716919651380887
frozenset({'43414'}),frozenset({'99700'}),0.026472459874142686,0.01076150745952061,0.0033231987555681257,0.12553418803418803,11.66511183552905,1.0,0.003038315181160679,1.1312489053364554,0.9391355167987845,0.09799833194328608,0.11602124405806112,0.21716919651380887
frozenset({'21221'}),frozenset({'21222'}),0.012628155271158877,0.019486671851799475,0.0026585590044545006,0.21052631578947373,10.803605530517153,1.0,0.0024124782865918557,1.2419835489877207,0.9190441408152159,0.0902544407105137,0.1948363560732745,0.17347796195859755
frozenset({'21222'}),frozenset({'21221'}),0.019486671851799475,0.012628155271158877,0.0026585590044545006,0.13642960812772134,10.80360553051715,1.0,0.0024124782865918557,1.1433600017112127,0.9254726913480538,0.0902544407105137,0.12538483198349826,0.17347796195859755
"frozenset({'23323', '99111'})",frozenset({'27211'}),0.006490843526833062,0.05478328501732306,0.0036201654528742132,0.5577342047930284,10.180736781605317,1.0,0.0032645757219408713,2.1372141486554126,0.9076668051483147,0.06279126808928133,0.5321011698200057,0.31190788711515127
frozenset({'27211'}),"frozenset({'23323', '99111'})",0.05478328501732306,0.006490843526833062,0.0036201654528742132,0.06608156943727413,10.180736781605315,1.0,0.0032645757219408713,1.0638072062402015,0.9540407693257132,0.06279126808928133,0.059980047010317124,0.31190788711515127
frozenset({'43417'}),frozenset({'43413'}),0.00803224209856466,0.04273492186947606,0.0034504701972707347,0.42957746478873243,10.052141106067246,1.0,0.0031072129587518572,1.678168408574499,0.9078104598609897,0.07292289300657502,0.4041122482758219,0.255159347880799
frozenset({'43413'}),frozenset({'43417'}),0.04273492186947606,0.00803224209856466,0.0034504701972707347,0.08074123097286566,10.052141106067246,1.0,0.0031072129587518572,1.079095235557285,0.9407203156584705,0.07292289300657502,0.07329773401921957,0.255159347880799
"frozenset({'23312', '99111'})",frozenset({'27211'}),0.004878738598600014,0.05478328501732306,0.0026444177331542106,0.5420289855072464,9.89405774655264,1.0,0.0023771444059820907,2.0639225738545797,0.9033363755671892,0.046378968253968256,0.5154857005452482,0.29514975346606515
"frozenset({'27211', '99111'})",frozenset({'23602'}),0.04402177755780245,0.006405995899031323,0.0026302764618539205,0.059749437841310635,9.327111472292012,1.0,0.002348273135350569,1.0567332199406612,0.933897498737869,0.055029585798816553,0.0536873629692904,0.23517273216568843
frozenset({'23602'}),"frozenset({'27211', '99111'})",0.006405995899031323,0.04402177755780245,0.0026302764618539205,0.4105960264900662,9.327111472292012,1.0,0.002348273135350569,1.6219405796491217,0.8985417253946291,0.055029585798816553,0.38345460213078064,0.23517273216568843
"frozenset({'27211', '99111'})",frozenset({'25711'}),0.04402177755780245,0.010803931273421481,0.004412076645690447,0.10022486347574687,9.276703168439058,1.0,0.003936468386422101,1.099381421615794,0.9332880835720988,0.08751753155680222,0.0903975814596995,0.25430091341326605
frozenset({'25711'}),"frozenset({'27211', '99111'})",0.010803931273421481,0.04402177755780245,0.004412076645690447,0.40837696335078527,9.276703168439056,1.0,0.003936468386422101,1.6158569954553954,0.9019476637309118,0.08751753155680222,0.38113335350064764,0.25430091341326605
frozenset({'27211'}),frozenset({'25711'}),0.05478328501732306,0.010803931273421481,0.00544438945061161,0.09938048528652553,9.198548451618656,1.0,0.00485251460435219,1.0983506936792105,0.9429448097122128,0.09052433576299082,0.08954398103010183,0.30165359342860304
frozenset({'25711'}),frozenset({'27211'}),0.010803931273421481,0.05478328501732306,0.00544438945061161,0.5039267015706805,9.198548451618656,1.0,0.00485251460435219,1.9053972829729948,0.901021772754843,0.09052433576299082,0.4751750677214685,0.30165359342860304
frozenset({'99600'}),frozenset({'43412'}),0.015908930212826133,0.03685215300855547,0.005246411652407551,0.3297777777777777,8.948670589238509,1.0,0.004660133322002051,1.4370574640124336,0.9026111351469852,0.11041666666666666,0.3041336028359769,0.23607077683977146
frozenset({'43412'}),frozenset({'99600'}),0.03685215300855547,0.015908930212826133,0.005246411652407551,0.14236377590176516,8.948670589238509,1.0,0.004660133322002051,1.14744578427981,0.9222380139904962,0.11041666666666666,0.12849912937050328,0.23607077683977146
"frozenset({'23321', '23111'})",frozenset({'23311'}),0.007763557943859153,0.05300148483348653,0.0036484479954747933,0.46994535519125685,8.866645088673886,1.0,0.0032369678968594486,1.7866054461388865,0.8941596307494055,0.0638771973260708,0.440279328510307,0.2693910340524054
frozenset({'23311'}),"frozenset({'23321', '23111'})",0.05300148483348653,0.007763557943859153,0.0036484479954747933,0.0688367129135539,8.866645088673886,1.0,0.0032369678968594486,1.0655880185749043,0.9368734548533276,0.0638771973260708,0.061551009800786184,0.2693910340524054
frozenset({'21223'}),frozenset({'21222'}),0.01784628438096585,0.019486671851799475,0.003040373329562328,0.17036450079239304,8.742616599081332,1.0,0.002692608642056552,1.1818603821614415,0.9017099400330624,0.08865979381443301,0.15387636721424452,0.16319386142667547
frozenset({'21222'}),frozenset({'21223'}),0.019486671851799475,0.01784628438096585,0.003040373329562328,0.15602322206095792,8.74261659908133,1.0,0.002692608642056552,1.1637212554798186,0.9032184903459377,0.08865979381443301,0.14068769020835153,0.16319386142667547
frozenset({'23602'}),frozenset({'27211'}),0.006405995899031323,0.05478328501732306,0.0030262320582620378,0.4724061810154525,8.623180973285422,1.0,0.002675290559105602,1.7915613886491741,0.8897331403396154,0.052030148310235835,0.44182766700838894,0.26382312148346193
frozenset({'27211'}),frozenset({'23602'}),0.05478328501732306,0.006405995899031323,0.0030262320582620378,0.05524006195147134,8.623180973285422,1.0,0.002675290559105602,1.051689391225998,0.9352707156766364,0.052030148310235835,0.0491489137926375,0.26382312148346193
"frozenset({'27211', '23321'})",frozenset({'99111'}),0.003521176553772184,0.11201300996959626,0.0032242098564660964,0.9156626506024098,8.174609814082745,1.0,0.002829792272043704,10.528988596074809,0.8807713537099638,0.02870813397129187,0.9050241159561329,0.472223447507997
frozenset({'26102'}),frozenset({'99111'}),0.0037191543519762425,0.11201300996959626,0.0033656225694689954,0.9049429657794678,8.078909459044953,1.0,0.0029490288959626134,9.341623135119855,0.8794918836211031,0.0299521771960735,0.8929522219494707,0.4674948385266484
"frozenset({'26102', '27205'})",frozenset({'99111'}),0.003535317825072474,0.11201300996959626,0.0031817860425652268,0.9,8.034780961999749,1.0,0.002785784451779692,8.879869900304039,0.8786473978413238,0.028316133903850994,0.8873857374908432,0.46420275217775536
"frozenset({'27211', '23602'})",frozenset({'99111'}),0.0030262320582620378,0.11201300996959626,0.0026302764618539205,0.8691588785046729,7.759445788847108,1.0,0.002291299100141503,6.786757709518085,0.8737690443802139,0.023399169706881367,0.8526542359693273,0.4463203810526142
frozenset({'43414'}),frozenset({'99600'}),0.026472459874142686,0.015908930212826133,0.003266633670366966,0.1233974358974359,7.756488603988604,1.0,0.00284548515366739,1.1226194287882933,0.8947622399244206,0.08351409978308026,0.10922617731695905,0.16436538461538464
frozenset({'99600'}),frozenset({'43414'}),0.015908930212826133,0.026472459874142686,0.003266633670366966,0.20533333333333334,7.756488603988604,1.0,0.00284548515366739,1.2250766025073707,0.8851575928023694,0.08351409978308026,0.18372451326448103,0.16436538461538464
frozenset({'27205'}),frozenset({'99111'}),0.003931273421480591,0.11201300996959626,0.003408046383369865,0.866906474820144,7.739337377465786,1.0,0.0029676926144163508,6.671902249417636,0.8742267964716064,0.03028399095250063,0.8501177081712662,0.4486659630760233
"frozenset({'23312', '27211'})",frozenset({'99111'}),0.0030545146008626174,0.11201300996959626,0.0026444177331542106,0.8657407407407408,7.728930246368071,1.0,0.002302272358715509,6.613972063674734,0.873283445519347,0.023522012578616355,0.8488049253349282,0.44467443551366037
"frozenset({'23323', '27211'})",frozenset({'99111'}),0.004228240118786679,0.11201300996959626,0.0036201654528742132,0.8561872909698997,7.643641494878987,1.0,0.0031465475502947143,6.174607209746295,0.8728629790282039,0.03214465092918132,0.8380463783313128,0.4442532212960848
"frozenset({'27211', '23324'})",frozenset({'99111'}),0.005189846567206392,0.11201300996959626,0.004341370289188998,0.8365122615803814,7.467991993139335,1.0,0.0037600399539158337,5.431520422352634,0.8706135472807222,0.03846635759929834,0.8158894890858469,0.4376349970949502
"frozenset({'27211', '23322'})",frozenset({'99111'}),0.0034646114685710247,0.11201300996959626,0.002856536802658559,0.8244897959183675,7.360661017342173,1.0,0.0024684552436887355,5.059460757149978,0.8671469637385194,0.025364138623807136,0.8023504780451532,0.4249958132476574
"frozenset({'23321', '99111'})",frozenset({'27211'}),0.008003959555964082,0.05478328501732306,0.0032242098564660964,0.40282685512367494,7.353097847204613,1.0,0.0027857266588445896,1.5828185227224707,0.8709741395070593,0.05413105413105413,0.36821563202331914,0.2308403764518736
