antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'23321'}),frozenset({'23312'}),0.006577674598568389,0.0030953762816792415,0.00860901528342039,1.3088235294117647,422.83180147058823,1.0,0.008588654905479378,inf,1.0042405610319136,8.090909090909085,1.3097824225750847,2.0450367647058822
"frozenset({'99111', '27211'})",frozenset({'23324'}),0.003192106790481718,0.0030953762816792415,0.004159411878506481,1.3030303030303032,420.96022727272737,1.0,0.004149531106858637,inf,1.0008192004332963,1.9545454545454548,1.3039712082987847,1.3233901515151516
frozenset({'23324'}),"frozenset({'99111', '27211'})",0.0030953762816792415,0.003192106790481718,0.004159411878506481,1.34375,420.96022727272725,1.0,0.004149531106858637,inf,1.0007220900897649,1.9545454545454548,1.3448508005822417,1.3233901515151516
frozenset({'23323'}),frozenset({'23324'}),0.004546333913716386,0.0030953762816792415,0.005803830528148578,1.2765957446808511,412.4202127659575,1.0,0.005789757913983467,inf,1.0021313121497748,3.157894736842105,1.2774545709791034,1.5757978723404256
frozenset({'23324'}),frozenset({'23323'}),0.0030953762816792415,0.004546333913716386,0.005803830528148578,1.875,412.42021276595744,1.0,0.005789757913983467,inf,1.0006727472669643,3.157894736842105,1.878996210280828,1.5757978723404256
"frozenset({'23314', '99111'})",frozenset({'27211'}),0.0033855678080866704,0.00261172373766686,0.0035790288256916233,1.0571428571428572,404.768253968254,1.0,0.0035701866578817625,inf,1.000918126706732,1.48,1.0572924892971445,1.2137566137566138
frozenset({'27211'}),"frozenset({'23314', '99111'})",0.00261172373766686,0.0033855678080866704,0.0035790288256916233,1.3703703703703705,404.768253968254,1.0,0.0035701866578817625,inf,1.0001415439297312,1.48,1.3716285440055216,1.2137566137566138
frozenset({'23324'}),frozenset({'23312'}),0.0030953762816792415,0.0030953762816792415,0.0037724898432965758,1.21875,393.732421875,1.0,0.0037629084889713935,inf,1.0005573054282544,1.5600000000000003,1.219429215990685,1.21875
frozenset({'23312'}),frozenset({'23324'}),0.0030953762816792415,0.0030953762816792415,0.0037724898432965758,1.21875,393.732421875,1.0,0.0037629084889713935,inf,1.0005573054282544,1.5600000000000003,1.219429215990685,1.21875
frozenset({'27211'}),"frozenset({'23313', '99111'})",0.00261172373766686,0.004352872896111433,0.004159411878506481,1.5925925925925928,365.8716049382717,1.0,0.00414804337703666,inf,0.9998782063860452,1.4827586206896552,1.5951833500653088,1.2740740740740741
"frozenset({'23313', '99111'})",frozenset({'27211'}),0.004352872896111433,0.00261172373766686,0.004159411878506481,0.9555555555555557,365.8716049382717,1.0,0.00414804337703666,22.441236215902578,1.0016267546921704,1.4827586206896552,0.95543917499111,1.2740740740740741
"frozenset({'99111', '27211'})",frozenset({'23312'}),0.003192106790481718,0.0030953762816792415,0.003482298316889147,1.0909090909090908,352.4318181818182,1.0,0.0034724175452413024,inf,1.0003558143296134,1.2413793103448276,1.0911913624896352,1.1079545454545454
frozenset({'23312'}),"frozenset({'99111', '27211'})",0.0030953762816792415,0.003192106790481718,0.003482298316889147,1.125,352.4318181818182,1.0,0.0034724175452413024,inf,1.0002587489488324,1.2413793103448276,1.1254002911208152,1.1079545454545454
frozenset({'71101'}),frozenset({'23512'}),0.0029986457728767655,0.0035790288256916233,0.0037724898432965758,1.2580645161290323,351.5100261551874,1.0,0.0037617576036374114,inf,1.0001542392150717,1.3448275862068964,1.2589914540085365,1.1560592850915432
frozenset({'23512'}),frozenset({'71101'}),0.0035790288256916233,0.0029986457728767655,0.0037724898432965758,1.054054054054054,351.5100261551874,1.0,0.0037617576036374114,inf,1.0007367967760163,1.3448275862068964,1.0542166305239944,1.1560592850915432
"frozenset({'23323', '23322'})",frozenset({'23324'}),0.0025149932288643837,0.0030953762816792415,0.0027084542464693366,1.076923076923077,347.9134615384616,1.0,0.002700669396080126,inf,0.999639809376039,0.9333333333333336,1.0771619221066147,0.9759615384615385
frozenset({'23324'}),"frozenset({'23323', '23322'})",0.0030953762816792415,0.0025149932288643837,0.0027084542464693366,0.8750000000000001,347.9134615384616,1.0,0.002700669396080126,7.979880054169092,1.0002217848132848,0.9333333333333336,0.8746848332040342,0.9759615384615385
"frozenset({'99111', '27211'})",frozenset({'23311'}),0.003192106790481718,0.003869220352099052,0.004159411878506481,1.3030303030303032,336.76818181818186,1.0,0.0041470609139466754,inf,1.0002234182999898,1.4333333333333333,1.3042073482935788,1.1890151515151517
frozenset({'23311'}),"frozenset({'99111', '27211'})",0.003869220352099052,0.003192106790481718,0.004159411878506481,1.0750000000000002,336.76818181818186,1.0,0.0041470609139466754,inf,1.0009033138066998,1.4333333333333333,1.0752401746724893,1.1890151515151517
"frozenset({'23114', '99111'})",frozenset({'27211'}),0.003192106790481718,0.00261172373766686,0.0028051847552718126,0.8787878787878787,336.47811447811443,1.0,0.0027968478541939438,8.22845327916424,1.0002208502735532,0.9354838709677419,0.8784704772484813,0.9764309764309763
frozenset({'27211'}),"frozenset({'23114', '99111'})",0.00261172373766686,0.003192106790481718,0.0028051847552718126,1.074074074074074,336.47811447811443,1.0,0.0027968478541939438,inf,0.9996388189379269,0.9354838709677419,1.0743112836271498,0.9764309764309763
"frozenset({'23323', '23322'})",frozenset({'23312'}),0.0025149932288643837,0.0030953762816792415,0.00261172373766686,1.0384615384615385,335.48798076923083,1.0,0.0026039388872776494,inf,0.9995330862281987,0.870967741935484,1.0385809610533074,0.9411057692307692
frozenset({'23312'}),"frozenset({'23323', '23322'})",0.0030953762816792415,0.0025149932288643837,0.00261172373766686,0.8437499999999999,335.4879807692307,1.0,0.0026039388872776494,6.383904043335264,1.0001149995328142,0.870967741935484,0.8433560415050425,0.9411057692307692
frozenset({'23111'}),frozenset({'23321'}),0.0035790288256916233,0.006577674598568389,0.00783517121300058,2.189189189189189,332.8211446740858,1.0,0.007811629526006285,inf,1.000576475255309,3.375,2.1970630806073843,1.690182829888712
