antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'26102'}),"frozenset({'27205', '99111'})",0.003599476439790576,0.003926701570680628,0.0030541012216404886,0.8484848484848484,216.08080808080808,1.0,0.003039967151850735,6.574083769633504,0.9989678630072718,0.6829268292682928,0.8478875482817664,0.8131313131313131
"frozenset({'27205', '99111'})",frozenset({'26102'}),0.003926701570680628,0.003599476439790576,0.0030541012216404886,0.7777777777777778,216.08080808080808,1.0,0.003039967151850735,4.483802356020943,0.9992960390463677,0.6829268292682928,0.7769750045612115,0.8131313131313131
frozenset({'27205'}),"frozenset({'26102', '99111'})",0.004472076788830715,0.0031631762652705063,0.0030541012216404886,0.6829268292682926,215.89907485281748,1.0,0.003039955254485592,3.1438699825479923,0.9998395654964077,0.6666666666666667,0.6819206883391735,0.8242220353238014
"frozenset({'26102', '99111'})",frozenset({'27205'}),0.0031631762652705063,0.004472076788830715,0.0030541012216404886,0.9655172413793103,215.89907485281748,1.0,0.003039955254485592,28.87030977312385,0.9985267222109326,0.6666666666666667,0.9653623390999799,0.8242220353238014
frozenset({'26102'}),frozenset({'27205'}),0.003599476439790576,0.004472076788830715,0.003381326352530541,0.9393939393939393,210.05764966740577,1.0,0.0033652292174922104,16.426210732984277,0.9988346840404682,0.7209302325581396,0.939121686902995,0.8477457501847745
frozenset({'27205'}),frozenset({'26102'}),0.004472076788830715,0.003599476439790576,0.003381326352530541,0.7560975609756098,210.05764966740577,1.0,0.0033652292174922104,4.085242146596859,0.9997101828322207,0.7209302325581396,0.7552164684208419,0.8477457501847745
frozenset({'79932'}),"frozenset({'27205', '99111'})",0.0030541012216404886,0.003926701570680628,0.0025087260034904013,0.8214285714285715,209.19047619047623,1.0,0.002496733459426368,5.578010471204191,0.9982684806393304,0.5609756097560977,0.820724610474939,0.7301587301587302
"frozenset({'27205', '99111'})",frozenset({'79932'}),0.003926701570680628,0.0030541012216404886,0.0025087260034904013,0.638888888888889,209.1904761904762,1.0,0.002496733459426368,2.7607732581554574,0.9991430040564475,0.5609756097560977,0.637782640408461,0.7301587301587302
"frozenset({'99111', '79932'})",frozenset({'27205'}),0.0028359511343804536,0.004472076788830715,0.0025087260034904013,0.8846153846153847,197.80863039399628,1.0,0.00249604341224808,8.62790866783014,0.9977742478574757,0.5227272727272728,0.8840970577576254,0.7227954971857411
frozenset({'27205'}),"frozenset({'99111', '79932'})",0.004472076788830715,0.0028359511343804536,0.0025087260034904013,0.5609756097560976,197.80863039399628,1.0,0.00249604341224808,2.271318111305023,0.9994140652912286,0.5227272727272728,0.5597270170907792,0.7227954971857411
frozenset({'25761'}),"frozenset({'79953', '99111'})",0.00512652705061082,0.002617801047120419,0.0025087260034904013,0.4893617021276596,186.93617021276597,1.0,0.002495305775609221,1.9532068062827228,0.9997759589671231,0.47916666666666663,0.4880214441279947,0.7238475177304964
"frozenset({'79953', '99111'})",frozenset({'25761'}),0.002617801047120419,0.00512652705061082,0.0025087260034904013,0.9583333333333333,186.93617021276594,1.0,0.002495305775609221,23.8769633507853,0.9972612119137281,0.47916666666666663,0.958118627343493,0.7238475177304964
frozenset({'27205'}),frozenset({'79932'}),0.004472076788830715,0.0030541012216404886,0.0025087260034904013,0.5609756097560976,183.67944250871082,1.0,0.0024950678283063633,2.2708212138840413,0.9990234421520477,0.5000000000000001,0.5596306772695736,0.6912020905923346
frozenset({'79932'}),frozenset({'27205'}),0.0030541012216404886,0.004472076788830715,0.0025087260034904013,0.8214285714285715,183.67944250871082,1.0,0.0024950678283063633,5.57495636998255,0.9976025116544572,0.5000000000000001,0.8206263989106106,0.6912020905923346
frozenset({'79953'}),"frozenset({'25761', '99111'})",0.003817626527050611,0.003926701570680628,0.0025087260034904013,0.6571428571428571,167.35238095238097,1.0,0.0024937353234103597,2.905213787085515,0.997833941892516,0.47916666666666663,0.6557912521118828,0.648015873015873
"frozenset({'25761', '99111'})",frozenset({'79953'}),0.003926701570680628,0.003817626527050611,0.0025087260034904013,0.638888888888889,167.35238095238097,1.0,0.0024937353234103597,2.7586588803866294,0.9979432097354739,0.47916666666666663,0.6375050184313297,0.648015873015873
frozenset({'25761'}),frozenset({'79953'}),0.00512652705061082,0.003817626527050611,0.0029450261780104713,0.574468085106383,150.47781155015198,1.0,0.0029254550123504167,2.3410285776614312,0.9984732018500244,0.4909090909090909,0.5728373375950202,0.6729483282674773
frozenset({'79953'}),frozenset({'25761'}),0.003817626527050611,0.00512652705061082,0.0029450261780104713,0.7714285714285715,150.47781155015198,1.0,0.0029254550123504167,4.352571444153578,0.9971612913691092,0.4909090909090909,0.7702507557128762,0.6729483282674773
"frozenset({'43412', '49211'})",frozenset({'49219'}),0.006653577661431064,0.010143979057591623,0.0029450261780104713,0.4426229508196722,43.63405605499736,1.0,0.002877532425554855,1.7759181552202032,0.9836267584153825,0.2125984251968504,0.43691098767104736,0.3664727657324167
frozenset({'49219'}),"frozenset({'43412', '49211'})",0.010143979057591623,0.006653577661431064,0.0029450261780104713,0.2903225806451613,43.63405605499736,1.0,0.002877532425554855,1.3997154132952563,0.9870951943679217,0.2125984251968504,0.2855690588947885,0.3664727657324167
"frozenset({'49219', '43412'})",frozenset({'49211'}),0.0029450261780104713,0.0231239092495637,0.0029450261780104713,1.0,43.24528301886792,1.0,0.0028769256599325676,inf,0.979761514057543,0.12735849056603774,1.0,0.5636792452830188
frozenset({'49211'}),"frozenset({'49219', '43412'})",0.0231239092495637,0.0029450261780104713,0.0029450261780104713,0.12735849056603774,43.24528301886792,1.0,0.0028769256599325676,1.1425711051365501,0.9999999999999999,0.12735849056603774,0.12478094754506444,0.5636792452830188
"frozenset({'43417', '43414'})","frozenset({'43413', '99700'})",0.004472076788830715,0.01494328097731239,0.0028359511343804536,0.6341463414634146,42.436888018515226,1.0,0.002769123634372839,2.6924883653286797,0.9808219062629054,0.17105263157894737,0.6285963524013493,0.4119636816806124
"frozenset({'43413', '99700'})","frozenset({'43417', '43414'})",0.01494328097731239,0.004472076788830715,0.0028359511343804536,0.1897810218978102,42.43688801851522,1.0,0.002769123634372839,1.228714643963335,0.9912480941713583,0.17105263157894737,0.18614138367033242,0.4119636816806124
frozenset({'72221'}),frozenset({'72211'}),0.009271378708551483,0.009598603839441536,0.003599476439790576,0.38823529411764707,40.44705882352941,1.0,0.003510484148521757,1.618925359108605,0.984403097361371,0.2357142857142857,0.38230629696812646,0.3816176470588235
frozenset({'72211'}),frozenset({'72221'}),0.009598603839441536,0.009271378708551483,0.003599476439790576,0.375,40.44705882352941,1.0,0.003510484148521757,1.5851657940663177,0.9847283406754772,0.2357142857142857,0.36915116151051414,0.3816176470588235
frozenset({'49211'}),"frozenset({'49219', '99700'})",0.0231239092495637,0.0031631762652705063,0.0027268760907504363,0.1179245283018868,37.2804163955758,1.0,0.0026537310898519474,1.1301037787794794,0.9962125949084413,0.11574074074074071,0.11512551433107542,0.4899967469095641
"frozenset({'49219', '99700'})",frozenset({'49211'}),0.0031631762652705063,0.0231239092495637,0.0027268760907504363,0.8620689655172413,37.28041639557579,1.0,0.0026537310898519474,7.082351657940661,0.9762643615275194,0.11574074074074071,0.8588039611279665,0.4899967469095641
frozenset({'49211'}),frozenset({'49219'}),0.0231239092495637,0.010143979057591623,0.008726003490401396,0.37735849056603776,37.20024345709069,1.0,0.008491435039244172,1.5897687609075044,0.9961534167038856,0.3555555555555555,0.3709777015437393,0.6187867721647393
frozenset({'49219'}),frozenset({'49211'}),0.010143979057591623,0.0231239092495637,0.008726003490401396,0.8602150537634409,37.200243457090686,1.0,0.008491435039244172,6.9884212645992765,0.9830909090909091,0.3555555555555555,0.8569061649065682,0.6187867721647393
